case_id,symptom,topology_note,show_command_output,expected_fault,osi_layer,concept_tag,severity
ROUTING-003,Two routers remain in OSPF EXSTART state,R1 and R2 share an Ethernet segment,"R1# show ip ospf neighbor; 2.2.2.2 EXSTART/DROTHER; R1# show ip ospf interface Gi0/1 | include MTU; MTU 1500; R2# show ip ospf interface Gi0/1 | include MTU; MTU 1400",OSPF interface MTU mismatch prevents database exchange,3,Routing,High
ROUTING-004,Branch users cannot reach headquarters after a static route change,R1 reaches HQ through next hop 172.16.12.2,"R1# show ip route 10.50.0.0; S 10.50.0.0/16 [1/0] via 172.16.21.2; R1# show ip interface brief; Gi0/1 172.16.12.1 up up",Static route uses an unreachable next-hop address,3,Routing,High
ROUTING-005,R3 has duplicate routes and intermittent OSPF reachability,R1 and R3 are in area 0 with loopbacks,"R1# show ip ospf neighbor; 3.3.3.3 FULL; R3# show ip ospf | include Router ID; Routing Process ""ospf 1"" with ID 1.1.1.1; R1# show ip ospf | include Router ID; Routing Process ""ospf 1"" with ID 1.1.1.1",Duplicate OSPF router IDs cause unstable routing behavior,3,Routing,High
ACL-001,Management PC cannot SSH to R1 but can ping it,R1 VTY access should permit 192.168.10.0/24,"R1# show access-lists; Standard IP access list 10; 10 permit 192.168.20.0 0.0.0.255; R1# show run | section line vty; access-class 10 in",VTY ACL excludes the management subnet,4,ACL,High
ACL-002,Web users cannot reach an internal HTTP server,ACL 101 is applied inbound on R1 Gi0/0,"R1# show access-lists 101; 10 deny tcp 192.168.30.0 0.0.0.255 host 10.0.0.10 eq 80; 20 permit ip any any; R1# show ip interface Gi0/0 | include access",ACL explicitly denies HTTP traffic to the server,4,ACL,High
ACL-003,DHCP relay packets are dropped between VLANs,R1 filters traffic inbound from the client VLAN,"R1# show access-lists 110; 10 deny udp any any eq 67; 20 permit ip any any; R1# show run interface Gi0/1; ip access-group 110 in",ACL blocks DHCP server UDP port 67,4,ACL,High
ACL-004,Users can browse HTTPS but DNS lookups fail,R1 applies ACL 120 toward the DNS server,"R1# show access-lists 120; 10 deny udp 192.168.80.0 0.0.0.255 host 192.168.90.53 eq 53; 20 permit ip any any",ACL blocks DNS UDP port 53,4,ACL,Medium
NAT-001,Internal hosts can ping the ISP gateway but cannot browse the internet,R1 connects LAN Gi0/1 to ISP Gi0/0,"R1# show ip nat statistics; Total active translations: 0; Inside interfaces: Gi0/1; Outside interfaces: Gi0/0; R1# show run | include ip nat inside source",Dynamic PAT overload rule is missing,3,NAT,High
NAT-002,Internet-bound traffic leaves the LAN untranslated,R1 is the enterprise edge router,"R1# show run interface Gi0/0; ip nat inside; R1# show run interface Gi0/1; ip nat outside; R1# show ip nat statistics; Total active translations: 0",NAT inside and outside interface roles are reversed,3,NAT,High
NAT-003,Only 192.168.100.0/24 users cannot access the internet,R1 should translate the 192.168.100.0/24 LAN,"R1# show access-lists 1; Standard IP access list 1; 10 permit 192.168.10.0 0.0.0.255; R1# show run | include ip nat inside source; ip nat inside source list 1 interface Gi0/0 overload",NAT source ACL does not include the affected LAN,3,NAT,Medium
WIRELESS-001,Laptop sees Cisco-Corp SSID but WPA2 authentication fails,WLC WLAN 1 serves corporate clients,"WLC# show wlan summary; 1 Cisco-Corp UP WPA2 PSK Key Cisco123!; Laptop log: Connecting with PSK cisco123!; Auth failed",Wireless client PSK does not match the WLAN PSK,2,Wireless,Medium
WIRELESS-002,Wireless clients authenticate but never receive an IP address,WLC maps WLAN 5 to VLAN 200,"WLC# show wlan summary; 5 Guest UP VLAN 200; S1# show interfaces trunk; Gi0/2 trunking; Vlans allowed on trunk 1 10 20",Wireless VLAN 200 is not permitted on the WLC switch trunk,2,Wireless,High
WIRELESS-003,Clients cannot discover the branch SSID after an AP change,WLC manages AP-BRANCH,"WLC# show ap summary; AP-BRANCH Registered; WLC# show wlan summary; 10 Branch-WiFi DISABLED WPA2; Client scan: no Branch-WiFi found",The Branch-WiFi WLAN is disabled on the controller,2,Wireless,Medium
WIRELESS-004,Connected wireless users cannot reach internal servers,WLC guest WLAN should use VLAN 210 and gateway 10.210.0.1,"WLC# show wlan summary; 12 Corp-WLAN UP VLAN 210; S1# show ip interface brief; Vlan210 10.21.0.1 up up; Client> ipconfig; Default Gateway 10.210.0.1",Wireless VLAN gateway SVI is addressed for the wrong subnet,3,Wireless,High
